Year_Month,30FixedMortgage_3MoMedian
2012-01-01,3.92
2012-04-01,3.8
2012-07-01,3.55
2012-10-01,3.35
2013-01-01,3.53
2013-04-01,3.54
2013-07-01,4.46
2013-10-01,4.26
2014-01-01,4.34
2014-04-01,4.19
2014-07-01,4.13
2014-10-01,4.0
2015-01-01,3.71
2015-04-01,3.84
2015-07-01,3.91
2015-10-01,3.94
2016-01-01,3.69
2016-04-01,3.6
2016-07-01,3.44
2016-10-01,3.77
2017-01-01,4.17
2017-04-01,4.01
2017-07-01,3.88
2017-10-01,3.92
2018-01-01,4.33
2018-04-01,4.57
2018-07-01,4.55
2018-10-01,4.83
2019-01-01,4.37
2019-04-01,4.07
2019-07-01,3.62
2019-10-01,3.7
2020-01-01,3.47
2020-04-01,3.23
2020-07-01,2.94
2020-10-01,2.77
2021-01-01,2.81
2021-04-01,2.98
2021-07-01,2.87
2021-10-01,3.07
2022-01-01,3.76
2022-04-01,4.93
2022-07-01,5.87
2022-10-01,6.35
2023-01-01,6.76
